FIPS,MedianIncome2011,MedianIncome2012,MedianIncome2013,MedianIncome2014,MedianIncome2015,MedianIncome2016,MedianIncome2017,MedianIncome2018
6081,"81,378","81,568","91,061","100,806","101,133","107,075","115,908","122,930"
6083,"59,494","60,683","60,803","62,116","63,049","66,360","70,651","75,646"
6085,"84,741","91,195","91,843","97,219","102,191","110,843","118,468","125,933"
6087,"61,228","65,799","65,282","64,257","64,841","75,929","76,633","84,213"
6089,"41,796","44,477","41,236","43,661","45,943","46,663","51,207","53,908"
6091,"45,060","45,157","46,449","47,293","47,535","48,099","49,495","52,308"
6093,"35,175","36,597","37,108","38,641","37,447","40,875","44,013","47,560"
6095,"63,090","61,976","63,398","67,106","67,202","73,200","75,931","82,808"
6097,"60,792","59,855","61,020","66,949","66,463","73,496","79,511","81,002"
6099,"44,287","46,324","47,808","50,917","51,949","54,060","58,925","59,616"
6101,"48,749","46,524","47,903","51,827","50,810","51,283","54,102","57,879"
6103,"37,297","38,577","43,459","40,782","40,292","40,585","41,819","47,572"
6105,"33,163","35,162","35,708","34,961","37,669","38,727","40,676","40,680"
6107,"40,599","40,197","39,657","42,360","42,637","45,768","46,377","48,763"
6109,"43,530","46,624","50,774","49,476","53,136","50,431","58,776","56,500"
6111,"74,019","71,043","76,513","74,967","79,285","79,470","82,436","84,170"
6113,"50,174","51,040","55,011","54,509","58,766","63,645","64,900","67,804"
6115,"43,299","41,599","41,824","41,403","46,500","46,054","53,822","47,504"
8000,"55,530","56,880","58,942","61,324","63,945","65,718","69,113","71,949"
8001,"52,429","55,695","54,876","59,316","62,991","65,442","65,977","70,199"
8003,"36,870","37,731","37,484","38,140","40,067","37,057","43,121","42,897"
8005,"57,042","60,525","61,092","65,359","67,062","70,866","75,196","76,665"
8007,"48,043","46,127","44,417","44,508","50,361","51,998","52,481","53,337"
8009,"34,168","37,775","35,787","36,294","35,405","34,070","35,725","38,294"
8011,"35,522","33,540","34,440","35,424","36,630","33,951","37,307","37,659"
8013,"68,101","66,894","71,405","71,546","72,392","74,772","80,701","83,591"
8014,"79,051","81,040","79,117","85,885","86,548","86,870","91,968","96,924"
8015,"44,156","44,651","48,012","48,840","50,947","49,877","53,545","56,168"
8017,"46,965","51,093","50,379","52,273","50,620","50,558","50,571","54,504"
8019,"65,420","65,359","63,489","69,115","67,262","68,699","71,850","74,019"
8021,"32,588","31,970","34,923","33,998","37,102","34,390","36,852","38,777"
8023,"26,125","26,075","28,233","27,882","27,944","27,211","30,486","31,557"
8025,"30,279","30,460","31,477","32,570","35,405","35,873","38,112","35,880"
8027,"45,791","46,744","47,268","48,368","43,995","52,021","54,080","55,242"
8029,"41,442","41,208","41,730","45,283","42,586","41,798","43,528","46,786"
8031,"47,584","50,455","51,156","54,872","57,886","61,038","64,974","68,069"
8033,"39,650","39,254","42,416","44,235","44,829","46,791","44,882","47,482"
8035,"95,973","98,426","105,192","107,250","109,926","112,399","112,386","120,670"
8037,"67,190","69,870","78,517","76,661","75,191","79,556","88,913","86,896"
8039,"78,029","81,528","80,972","83,603","90,270","86,693","102,731","98,247"
8041,"54,857","55,312","57,072","59,286","60,050","63,610","65,260","67,923"
8043,"41,493","40,809","41,412","41,385","41,967","46,372","48,820","47,885"
8045,"57,617","54,088","57,364","62,529","64,487","69,161","71,897","74,421"
8047,"60,537","61,447","64,962","64,752","67,389","65,472","79,636","72,949"
8049,"56,980","56,191","57,312","59,379","59,885","63,875","61,241","69,214"
8051,"43,069","49,861","48,391","48,940","47,619","53,753","53,480","61,268"
8053,"49,024","50,177","52,188","51,241","58,613","51,717","59,157","62,149"
8055,"30,655","31,574","32,418","32,750","33,098","34,626","37,424","38,242"
8057,"43,206","43,190","43,549","45,073","46,905","46,671","48,785","51,457"
8059,"64,412","67,401","68,161","70,687","71,209","74,342","80,562","85,550"
8061,"41,427","40,216","42,378","42,310","42,108","43,951","43,845","44,704"
8063,"43,078","44,059","39,633","46,394","44,090","48,272","44,028","48,342"
8065,"42,768","45,504","47,547","46,765","45,913","49,064","49,799","51,802"
8067,"52,276","55,888","58,675","60,658","60,732","58,499","61,974","66,219"
8069,"55,501","56,132","59,337","57,659","64,935","66,561","69,443","71,306"
8071,"40,191","38,713","38,547","39,625","38,858","38,224","39,552","41,485"
8073,"42,734","38,098","41,510","41,248","43,188","42,969","45,308","46,690"
8075,"43,823","42,740","43,561","45,439","46,306","49,407","50,246","53,168"
8077,"47,778","46,940","48,108","50,106","51,449","49,825","52,623","51,132"
8079,"46,956","47,169","50,286","51,257","50,481","52,641","55,906","60,210"
8081,"52,257","57,023","58,890","56,193","59,173","54,151","57,680","59,500"
8083,"41,817","40,351","43,655","44,163","42,975","40,679","48,692","50,180"
8085,"43,035","45,226","43,946","46,336","46,860","43,285","51,031","52,576"
8087,"41,246","44,577","46,332","47,631","49,087","49,129","50,453","55,387"
8089,"30,420","35,026","36,811","33,043","34,970","36,773","37,907","40,064"
8091,"57,922","61,657","58,137","57,242","60,402","66,813","63,627","68,900"
8093,"58,565","60,731","57,510","58,487","63,319","68,535","69,884","72,121"
8095,"43,826","46,216","46,805","47,006","48,562","49,046","52,096","52,367"
8097,"69,229","67,057","71,012","73,274","76,663","74,576","78,596","89,034"
8099,"36,563","36,580","38,830","39,184","41,348","40,164","41,238","42,455"
8101,"40,764","41,209","41,352","41,382","40,540","44,644","44,060","48,308"
8103,"60,022","57,922","59,364","63,184","61,426","58,980","58,336","63,411"
8105,"37,472","37,837","39,834","40,593","40,259","41,128","41,693","44,171"
8107,"64,998","62,271","63,763","66,846","70,989","71,322","76,505","81,033"
8109,"30,746","30,197","35,310","31,227","34,209","33,973","36,558","36,869"
8111,"36,547","35,734","41,683","40,006","43,489","44,652","46,985","46,878"
8113,"57,578","53,477","53,674","59,603","62,793","67,251","70,418","69,458"
8115,"37,511","37,633","39,980","44,562","40,325","42,518","39,880","40,009"
8117,"60,397","61,286","63,236","68,352","69,633","70,265","75,420","80,078"
8119,"60,313","59,558","62,725","62,380","66,191","63,966","68,078","64,850"
8121,"43,433","43,446","45,572","45,784","47,592","46,304","48,325","47,869"
8123,"51,773","55,332","58,404","61,501","69,434","63,609","68,679","75,629"
8125,"46,246","45,059","45,487","46,838","48,934","48,963","48,893","53,253"
9000,"65,822","67,275","67,262","70,007","71,333","73,380","74,428","76,366"
